City,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
birjand,80.6,11,0,11.41,32.87,59.22,1592506923
waw,73.42,83,100,0.65,7.7,28.0,1592506923
fairbanks,70.0,45,75,3.85,64.84,-147.72,1592506924
hirado,78.01,95,100,1.01,33.36,129.55,1592506924
acapulco,87.8,62,75,9.17,16.86,-99.89,1592506850
hanna,55.99,60,99,3.0,51.63,-111.9,1592506824
qandala,91.2,51,39,3.94,11.47,49.87,1592506924
ak-dovurak,54.12,83,1,1.48,51.18,90.6,1592506924
amahai,81.0,97,54,1.99,-3.33,128.92,1592506924
sargatskoye,43.23,80,4,7.63,55.61,73.5,1592506925
juneau,53.6,87,90,5.82,58.3,-134.42,1592506925
goundam,103.86,15,3,5.93,16.41,-3.67,1592506925
korla,86.0,40,0,1.01,41.76,86.15,1592506925
san carlos de bariloche,46.4,70,75,11.41,-41.15,-71.31,1592506747
gore,39.0,83,1,3.0,-46.1,168.94,1592506857
black river,87.8,74,20,18.34,18.03,-77.85,1592506925
pacific grove,84.0,49,1,6.93,36.62,-121.92,1592506925
peruibe,76.15,66,100,4.45,-24.32,-47.0,1592506845
samarai,79.27,82,61,16.46,-10.62,150.67,1592506628
lazurne,68.0,100,98,4.0,46.08,32.53,1592506926
zhovtneve,65.32,92,34,7.65,50.66,24.25,1592506926
marsa matruh,71.6,78,0,10.29,31.35,27.25,1592506918
skjervoy,42.8,100,75,20.8,70.03,20.97,1592506926
fort nelson,66.2,68,40,4.7,58.81,-122.7,1592506867
rawah,88.59,14,0,8.57,34.48,41.91,1592506926
garissa,77.97,66,53,21.14,-0.45,39.64,1592506926
tabou,78.62,78,94,7.07,4.42,-7.35,1592506927
ratzeburg,69.01,72,62,4.7,53.7,10.77,1592506927
antofagasta,60.8,77,20,4.7,-23.65,-70.4,1592506927
uige,68.25,41,0,2.77,-7.61,15.06,1592506927
shaowu,76.51,85,95,1.63,27.34,117.48,1592506927
usogorsk,53.11,68,12,3.42,63.41,48.69,1592506927
yumen,71.71,20,42,4.32,40.28,97.2,1592506852
hashtrud,66.99,46,0,4.68,37.48,47.05,1592506927
safford,89.6,9,1,5.82,32.83,-109.71,1592506927
cherskiy,67.55,39,0,6.98,68.75,161.3,1592506927
carutapera,81.1,86,70,7.87,-1.2,-46.02,1592506927
usta muhammad,102.0,28,0,18.03,28.18,68.04,1592506817
sinjar,86.27,17,0,18.39,36.32,41.88,1592506928
nizhniy kuranakh,55.49,82,100,1.21,58.84,125.49,1592506928
ramanuj ganj,79.0,75,14,5.06,23.8,83.7,1592506928
maltahohe,56.7,37,0,10.31,-24.83,16.98,1592506928
anadyr,62.6,55,99,4.47,64.75,177.48,1592506647
mount gambier,51.8,71,100,14.99,-37.83,140.77,1592506928
paragominas,87.4,57,9,4.9,-2.97,-47.48,1592506928
bairiki,77.0,88,75,2.24,1.33,172.98,1592506929
liseleje,70.0,100,6,9.46,56.01,11.95,1592506929
newcastle,52.0,100,38,5.82,-32.93,151.78,1592506882
tommot,52.41,83,99,0.25,58.96,126.29,1592506929
watford,64.99,77,40,9.17,51.66,-0.4,1592506929
teguldet,56.95,98,100,4.97,57.31,88.17,1592506929
lagunas,93.9,42,4,2.01,-5.23,-75.68,1592506929
skibbereen,62.6,67,75,6.93,51.55,-9.27,1592506930
alice springs,52.0,49,0,5.82,-23.7,133.88,1592506930
tezu,75.87,86,97,3.06,27.92,96.17,1592506930
peskovka,47.8,73,0,2.26,59.04,52.36,1592506930
rameswaram,86.49,76,100,16.75,9.28,79.3,1592506930
torbay,70.0,63,90,13.87,47.67,-52.73,1592506701
husainabad,82.51,76,36,2.59,24.53,84.02,1592506930
karpathos,73.4,83,0,11.41,35.51,27.21,1592506930
inta,42.1,64,97,7.23,66.03,60.17,1592506930
necochea,55.99,86,1,8.01,-38.55,-58.74,1592506931
inverness,57.99,87,75,10.29,57.48,-4.22,1592506931
mehran,78.8,26,0,4.7,33.12,46.16,1592506931
sao jose da coroa grande,79.63,76,11,11.12,-8.9,-35.15,1592506931
awjilah,85.55,22,0,12.73,29.11,21.29,1592506931
kwinana,50.0,100,90,6.93,-32.25,115.77,1592506931
caravelas,74.14,87,0,8.34,-17.71,-39.25,1592506931
veinticinco de mayo,66.0,69,100,4.0,-35.43,-60.17,1592506932
krasnoselkup,45.97,57,100,14.54,65.7,82.47,1592506843
najran,93.2,12,40,6.93,17.49,44.13,1592506883
huilong,75.0,91,45,6.2,31.81,121.66,1592506932
rjukan,75.99,60,94,5.01,59.88,8.59,1592506932
vagur,51.91,90,100,8.28,61.47,-6.81,1592506883
yaan,76.06,87,100,5.48,7.38,8.57,1592506932
bengbu,64.38,93,0,2.51,32.94,117.36,1592506932
padilla,84.2,58,75,5.82,3.22,-76.31,1592506932
bambanglipuro,77.81,84,57,12.59,-7.95,110.28,1592506932
tupa,77.13,54,5,8.46,-21.93,-50.51,1592506640
dong hoi,79.83,77,12,7.83,17.48,106.6,1592506932
vestmanna,50.0,93,69,8.05,62.16,-7.17,1592506933
okitipupa,74.35,97,100,2.21,6.5,4.78,1592506933
oistins,87.8,70,40,20.8,13.07,-59.53,1592506902
wanlaweyn,76.64,79,77,15.73,2.62,44.89,1592506933
kanigoro,73.94,88,8,6.67,-8.13,112.22,1592506933
caibarien,91.4,55,75,6.93,22.52,-79.47,1592506933
vestmannaeyjar,50.0,81,75,20.8,63.44,-20.27,1592506810
padang,78.64,76,100,4.05,-0.95,100.35,1592506751
noumea,64.4,88,93,1.12,-22.28,166.46,1592506804
batagay,69.93,48,0,1.61,67.63,134.63,1592506703
guymon,87.8,35,1,19.46,36.68,-101.48,1592506933
valkeakoski,68.0,60,0,6.93,61.26,24.03,1592506933
chara,50.45,86,100,2.66,56.91,118.26,1592506934
christchurch,44.01,93,100,13.87,-43.53,172.63,1592506724
umm lajj,84.69,45,2,10.31,25.02,37.27,1592506934
rio branco,87.8,55,40,6.93,-9.97,-67.81,1592506934
mount isa,62.6,77,0,4.7,-20.73,139.5,1592506815
rabo de peixe,64.4,82,75,12.75,37.8,-25.58,1592506934
tual,80.76,84,92,22.01,-5.67,132.75,1592506934
micheweni,78.08,78,27,16.49,-4.97,39.83,1592506934
jackson,75.0,56,1,3.36,42.42,-122.83,1592506935
davila,78.8,94,20,2.24,18.47,120.58,1592506935
ewa beach,75.2,83,75,11.41,21.32,-158.01,1592506678
alexandria,73.4,78,40,13.87,31.22,29.96,1592506800
broken hill,46.4,65,0,10.29,-31.95,141.43,1592506935
constitucion,55.78,85,100,22.84,-35.33,-72.42,1592506935
sandwick,53.6,93,3,11.41,60.0,-1.25,1592506935
mbour,84.2,79,0,13.87,14.42,-16.96,1592506935
pouebo,70.63,81,97,12.59,-20.4,164.57,1592506935
skuodas,69.8,88,99,5.82,56.27,21.53,1592506935
faya,77.0,47,20,4.54,18.39,42.45,1592506936
yeppoon,60.8,82,46,5.82,-23.13,150.73,1592506936
moyale,72.68,61,98,8.01,3.52,39.06,1592506936
olden,75.2,57,69,3.36,61.84,6.81,1592506936
navalmoral de la mata,84.0,16,0,10.0,39.89,-5.54,1592506936
nantucket,64.0,88,90,8.05,41.28,-70.1,1592506691
salo,75.2,50,24,10.29,45.61,10.53,1592506937
absam,62.6,72,75,13.87,47.3,11.5,1592506799
pemba,74.5,80,90,11.61,-12.97,40.52,1592506937
oban,68.0,71,59,1.99,56.41,-5.47,1592506937
dharchula,69.6,68,35,2.75,29.85,80.53,1592506937
